,id,holeid,from,to,Au,Pb,Fe,Mo,Cu,S,Zn,label,interval_length
86,A08457,SOLVE008,621,631.0,0.0025,172.2,48280.0,2.8,12.8,17370.0,35.4,proximal,10.0
87,A08451,SOLVE008,631,641.0,0.0025,223.6,55620.0,10.2,8.8,25420.0,39.8,proximal,10.0
88,A08444,SOLVE008,641,651.0,0.0025,94.0,56800.0,6.6,10.8,26860.0,39.0,proximal,10.0
89,A08437,SOLVE008,651,661.0,0.0025,143.4,54300.0,4.8,13.2,18720.0,40.6,proximal,10.0
90,A08428,SOLVE008,661,671.0,0.0025,182.8,57480.0,10.8,10.4,17770.0,48.0,proximal,10.0
91,A08416,SOLVE008,671,681.0,0.0025,38.6,55560.0,4.4,6.6,598.0,29.2,proximal,10.0
92,A08406,SOLVE008,681,691.0,0.0025,210.2,66360.0,8.6,5.6,1946.0,40.8,proximal,10.0
93,A08397,SOLVE008,691,701.0,0.0025,429.4,60140.0,22.4,8.0,1780.0,39.6,proximal,10.0
94,A08390,SOLVE008,701,711.0,0.0025,188.4,64740.0,21.0,6.2,2326.0,78.2,proximal,10.0
95,A07836,SOLVE008,711,721.0,0.008,483.2,59540.0,33.4,8.4,2366.0,43.2,proximal,10.0
96,A07712,SOLVE008,721,731.0,0.009,231.8,45280.0,5.8,8.0,10196.0,30.8,proximal,10.0
97,A07237,SOLVE008,731,741.0,0.014,229.0,43960.0,8.8,8.4,19950.0,33.8,proximal,10.0
98,A07319,SOLVE008,741,751.0,0.013,278.0,69860.0,8.2,9.6,32560.0,23.8,proximal,10.0
99,A07317,SOLVE008,751,761.0,0.013,209.8,62340.0,7.0,5.6,13070.0,28.2,proximal,10.0
100,A07706,SOLVE008,761,771.0,0.009,209.0,68160.0,5.6,46.0,17560.0,29.8,proximal,10.0
101,A04548,SOLVE008,771,781.0,0.078,842.0,74640.0,7.2,25.4,29220.0,60.0,proximal,10.0
102,A05876,SOLVE008,781,791.0,0.036,770.0,78940.0,9.6,8.8,18240.0,29.8,proximal,10.0
104,A03613,SOLVE008,801,811.0,0.132,2554.0,66320.0,27.8,7.6,17540.0,35.2,proximal,10.0
105,A05780,SOLVE008,811,821.0,0.038,670.0,68320.0,9.2,6.8,9570.0,28.6,proximal,10.0
106,A04466,SOLVE008,821,831.0,0.081,1449.0,57800.0,26.4,6.4,2310.0,29.4,proximal,10.0
107,A04575,SOLVE008,831,841.0,0.076,1154.0,50460.0,34.2,9.8,1944.0,47.8,proximal,10.0
108,A05006,SOLVE010,521,531.0,0.06,1894.0,47180.0,31.6,11.6,3940.0,33.2,proximal,10.0
109,A04879,SOLVE010,531,541.0,0.064,1180.0,56720.0,50.8,8.8,16540.0,25.8,proximal,10.0
110,A05608,SOLVE010,541,551.0,0.042,876.0,87940.0,18.8,3.6,4459.0,22.8,proximal,10.0
111,A05176,SOLVE010,551,561.0,0.054,1112.0,86900.0,43.2,4.4,1557.0,24.6,proximal,10.0
112,A04852,SOLVE011,791,801.0,0.065,1223.0,52220.0,14.4,4.4,24480.0,18.2,proximal,10.0
113,A04020,SOLVE011,801,811.0,0.104,1556.0,57460.0,24.8,4.0,40480.0,20.0,proximal,10.0
114,A05123,SOLVE011,811,821.0,0.056,929.2,58400.0,15.4,4.8,46860.0,15.8,proximal,10.0
115,A05510,SOLVE011,821,831.0,0.045,730.8,45780.0,16.6,5.2,29600.0,18.0,proximal,10.0
116,A05983,SOLVE011,831,841.0,0.034,349.0,66260.0,9.4,7.2,33760.0,21.0,proximal,10.0
117,A05793,SOLVE011,841,851.0,0.038,299.0,71820.0,2.2,5.2,24030.0,22.6,proximal,10.0
118,A06490,SOLVE011,851,861.0,0.025,292.0,63540.0,1.4,26.8,21880.0,32.6,proximal,10.0
119,A04362,SOLVE015,861,871.0,0.086,1352.4,45520.0,3.0,3.0,1476.0,24.0,proximal,10.0
120,A04273,SOLVE015,871,881.0,0.09,1602.8,42860.0,3.0,3.0,2063.6,24.8,proximal,10.0
121,A02928,SOLVE015,881,891.0,0.194,1352.6,47060.0,4.0,15.0,7856.6,98.8,proximal,10.0
122,A03783,SOLVE015,891,901.0,0.118,1598.0,46640.0,3.8,3.0,4310.0,36.4,proximal,10.0
123,A03884,SOLVE015,901,910.5,0.111578947,2028.421053,38442.10526,8.0,3.0,3345.157895,22.63157895,proximal,9.5
124,A03549,SOLVE016,671,681.0,0.136,1282.0,56700.0,18.2,50.6,6258.0,131.0,proximal,10.0
125,A04164,SOLVE016,681,691.0,0.096,1268.2,60200.0,3.0,3.0,2986.0,85.2,proximal,10.0
126,A05387,SOLVE016,691,701.0,0.048,789.6,58920.0,9.6,3.0,1890.2,64.6,proximal,10.0
127,A04722,SOLVE016,701,711.0,0.07,1070.8,53960.0,52.6,3.0,600.4,31.2,proximal,10.0
128,A04678,SOLVE016,711,721.0,0.072,2069.8,57460.0,19.8,3.0,1875.4,40.4,proximal,10.0
129,A04441,SOLVE016,721,731.0,0.082,1900.0,45920.0,9.0,3.0,2888.0,30.8,proximal,10.0
130,A05014,SOLVE016,731,741.0,0.06,1229.4,64040.0,18.2,3.0,1699.6,38.2,proximal,10.0
131,A04168,SOLVE016,741,751.0,0.096,1378.2,69420.0,34.0,4.4,12148.0,69.8,proximal,10.0
132,A04945,SOLVE016,751,761.0,0.062,1357.6,56180.0,6.0,3.0,1195.2,28.4,proximal,10.0
133,A04595,SOLVE016,761,771.0,0.076,1546.4,57380.0,9.8,3.0,2062.4,27.6,proximal,10.0
134,A05023,SOLVE016,771,781.0,0.06,1433.6,61580.0,10.2,3.0,5189.4,54.6,proximal,10.0
135,A03315,SOLVE016,781,791.0,0.156,3395.2,57800.0,33.6,3.0,3067.4,32.2,proximal,10.0
137,A06999,SOLVE017,1141,1151.0,0.017,57.4,42120.0,2.8,7.6,3510.0,27.0,proximal,10.0
138,A08124,SOLVE017,1151,1161.0,0.006,104.2,43820.0,4.2,8.8,4720.0,31.4,proximal,10.0
139,A07591,SOLVE017,1161,1171.0,0.01,218.2,39120.0,3.0,8.8,8504.0,31.0,proximal,10.0
140,A07720,SOLVE017,1171,1181.0,0.009,210.8,48020.0,5.0,10.4,1280.0,43.0,proximal,10.0
141,A08133,SOLVE017,1181,1191.0,0.006,160.6,39360.0,3.6,5.2,476.0,37.4,proximal,10.0
142,A07595,SOLVE017,1191,1201.0,0.01,181.8,39720.0,3.6,10.4,464.0,38.8,proximal,10.0
143,A08427,SOLVE017,1201,1211.0,0.0025,142.8,39140.0,3.0,14.0,410.0,42.2,proximal,10.0
144,A08432,SOLVE017,1211,1221.0,0.0025,112.4,40700.0,2.8,14.8,418.0,51.4,proximal,10.0
145,A08138,SOLVE017,1221,1231.0,0.006,145.0,41820.0,3.6,10.8,332.0,53.6,proximal,10.0
147,A07702,SOLVE021,821,831.0,0.009,522.0,91260.0,3.6,6.8,60420.0,29.2,proximal,10.0
148,A06646,SOLVE021,831,841.0,0.022,180.4,79300.0,2.2,6.4,50700.0,32.6,proximal,10.0
149,A06303,SOLVE021,841,851.0,0.028,264.0,72600.0,2.6,6.4,48060.0,36.6,proximal,10.0
150,A07230,SOLVE021,851,861.0,0.014,150.8,74460.0,5.0,5.2,44940.0,34.2,proximal,10.0
151,A07399,SOLVE021,861,871.0,0.012,169.6,66480.0,2.0,5.2,34540.0,30.8,proximal,10.0
152,A06606,SOLVE021,871,881.0,0.023,128.2,74360.0,2.8,8.0,30840.0,37.4,proximal,10.0
153,A06212,SOLVE021,881,891.0,0.03,250.4,82100.0,4.0,8.8,43920.0,33.4,proximal,10.0
154,A04949,SOLVE021,891,901.0,0.062,456.6,70120.0,3.0,8.4,36260.0,36.4,proximal,10.0
155,A06419,SOLVE021,901,911.0,0.026,176.4,53820.0,4.2,7.2,41520.0,26.6,proximal,10.0
156,A05409,SOLVE021,911,921.0,0.048,115.6,56560.0,5.0,6.0,43820.0,36.8,proximal,10.0
158,A06224,SOLVE021,931,941.0,0.03,68.2,74000.0,5.4,6.0,59460.0,32.8,proximal,10.0
159,A06227,SOLVE021,941,951.0,0.03,323.4,62780.0,3.6,2.8,35720.0,28.6,proximal,10.0
160,A05951,SOLVE021,951,961.0,0.035,215.4,53800.0,3.4,6.8,36980.0,34.0,proximal,10.0
161,A06671,SOLVE021,961,971.0,0.022,149.8,63220.0,3.2,3.2,31290.0,23.0,proximal,10.0
162,A06431,SOLVE021,971,981.0,0.026,201.4,73700.0,3.4,3.2,35620.0,28.6,proximal,10.0
163,A07252,SOLVE021,981,991.0,0.014,113.6,67260.0,3.6,2.4,14590.0,33.2,proximal,10.0
164,A03020,SOLVE021,991,1001.0,0.184,88.0,44240.0,2.6,2.0,8960.0,45.6,proximal,10.0
165,A06230,SOLVE021,1001,1011.0,0.03,125.8,51480.0,3.6,4.0,4330.0,34.0,proximal,10.0
166,A06808,SOLVE021,1011,1021.0,0.02,168.0,53420.0,1.2,5.2,5570.0,35.4,proximal,10.0
167,A05640,SOLVE021,1021,1031.0,0.042,116.8,42160.0,1.0,4.0,4350.0,26.4,proximal,10.0
168,A06232,SOLVE021,1031,1041.0,0.03,141.0,37920.0,2.6,4.8,18000.0,34.4,proximal,10.0
169,A06234,SOLVE021,1041,1051.0,0.03,149.2,47420.0,1.6,3.6,7460.0,32.0,proximal,10.0
170,A04964,SOLVE021,1051,1061.0,0.062,131.8,38500.0,3.8,2.0,8570.0,38.2,proximal,10.0
171,A06948,SOLVE021,1061,1071.0,0.018,105.6,25040.0,2.4,6.8,6480.0,97.6,proximal,10.0
172,A06745,SOLVE021,1071,1081.0,0.021,70.8,21580.0,1.6,12.8,3140.0,81.8,proximal,10.0
173,A07611,SOLVE021,1081,1091.0,0.01,185.0,31920.0,1.4,22.6,7940.0,171.6,proximal,10.0
174,A07521,SOLVE021,1091,1101.0,0.011,127.8,31660.0,1.8,9.6,5760.0,87.4,proximal,10.0
175,A06953,SOLVE021,1101,1111.0,0.018,56.0,29000.0,1.4,9.2,1650.0,34.0,proximal,10.0
176,A06330,SOLVE021,1111,1121.0,0.028,41.6,35040.0,2.4,5.2,2460.0,44.4,proximal,10.0
177,A05916,SOLVE021,1121,1131.0,0.036,69.6,38560.0,2.6,4.4,260.0,28.4,proximal,10.0
178,A06817,SOLVE021,1131,1141.0,0.02,41.4,33680.0,2.0,6.8,1046.0,50.8,proximal,10.0
179,A06105,SOLVE025,251,261.0,0.032,1132.0,45520.0,12.0,3.6,788.0,33.6,proximal,10.0
180,A05706,SOLVE025,261,271.0,0.04,770.0,63280.0,16.2,5.2,818.0,31.0,proximal,10.0
181,A05618,SOLVE025,271,281.0,0.042,824.0,66400.0,29.8,4.0,608.0,31.2,proximal,10.0
182,A05128,SOLVE025,281,291.0,0.056,1548.0,48320.0,75.8,6.8,2076.0,39.8,proximal,10.0
183,A05011,SOLVE025,291,301.0,0.06,2040.0,29080.0,62.4,7.2,4330.0,34.2,proximal,10.0
184,A05071,SOLVE025,301,311.0,0.058,1850.0,42380.0,42.6,8.0,3360.0,49.0,proximal,10.0
185,A04495,SOLVE025,311,321.0,0.08,1780.0,68480.0,43.4,5.6,2830.0,36.2,proximal,10.0
186,A04588,SOLVE025,321,331.0,0.076,1320.0,66300.0,47.4,8.8,1730.0,34.2,proximal,10.0
187,A04767,SOLVE025,331,341.0,0.068,1460.0,68180.0,59.0,3.6,1520.0,33.0,proximal,10.0
188,A05781,SOLVE025,341,351.0,0.038,1165.0,62720.0,46.2,4.4,1113.0,37.6,proximal,10.0
189,A04436,SOLVE025,351,361.0,0.082,1540.0,51640.0,31.6,5.2,2280.0,53.0,proximal,10.0
190,A04233,SOLVE025,361,371.0,0.092,1340.0,53340.0,30.8,3.6,1350.0,58.2,proximal,10.0
191,A04016,SOLVE025,371,381.0,0.104,1700.0,54120.0,44.2,4.0,1740.0,58.6,proximal,10.0
192,A02642,SOLVE025,381,391.0,0.228,2290.0,59940.0,66.0,4.0,2180.0,59.4,proximal,10.0
193,A04434,SOLVE025,391,401.0,0.082,1510.0,68980.0,46.0,5.2,1240.0,58.0,proximal,10.0
194,A04814,SOLVE025,911,921.0,0.066,1150.0,60880.0,27.6,2.0,2330.0,33.2,proximal,10.0
195,A03527,SOLVE025,921,931.0,0.138,2130.0,58420.0,33.2,4.0,3030.0,40.6,proximal,10.0
196,A03753,SOLVE025,931,941.0,0.12,2330.0,62780.0,33.2,5.2,9210.0,53.8,proximal,10.0
197,A04235,SOLVE025,941,951.0,0.092,1650.0,53160.0,15.2,2.0,6010.0,34.6,proximal,10.0
198,A05184,SOLVE025,951,961.0,0.054,878.0,61600.0,11.4,2.0,6498.0,27.4,proximal,10.0
199,A05566,SOLVE026,191,201.0,0.044,62.4,26140.0,1.0,5.2,2510.0,50.0,distal,10.0
200,A04740,SOLVE026,201,211.0,0.07,157.1,28580.0,1.0,5.4,5930.0,72.0,distal,10.0
201,A05098,SOLVE026,211,221.0,0.058,10.5,17690.0,1.6,5.4,9760.0,48.0,distal,10.0
202,A06753,SOLVE026,221,231.0,0.021,23.6,8480.0,1.4,6.0,1888.0,38.6,distal,10.0
203,A05954,SOLVE026,231,241.0,0.035,11.8,33120.0,3.4,8.8,30800.0,42.8,distal,10.0
204,A05926,SOLVE026,241,251.0,0.036,12.8,15940.0,10.4,9.6,8840.0,43.8,proximal,10.0
205,A05491,SOLVE026,251,261.0,0.046,18.0,18450.0,2.4,7.6,10540.0,57.4,proximal,10.0
206,A08517,SOLVE026,261,271.0,0.0025,109.2,19140.0,3.2,18.4,12820.0,47.4,proximal,10.0
207,A06064,SOLVE026,271,281.0,0.033,157.2,25360.0,1.4,20.4,9980.0,90.8,proximal,10.0
208,A02933,SOLVE026,281,291.0,0.193,25.8,22240.0,1.6,6.6,6100.0,64.8,proximal,10.0
209,A06376,SOLVE026,291,301.0,0.027,1259.8,19040.0,10.6,6.2,4286.0,68.6,proximal,10.0
210,A07444,SOLVE026,301,311.0,0.012,1070.2,27000.0,23.8,8.4,2480.0,105.4,proximal,10.0
211,A07185,SOLVE026,311,321.0,0.015,1006.0,35480.0,13.4,9.4,810.0,67.8,proximal,10.0
212,A07864,SOLVE026,321,331.0,0.008,726.0,16240.0,32.0,7.2,588.0,36.6,proximal,10.0
213,A06167,SOLVE026,331,341.0,0.031,749.0,21140.0,36.0,7.6,722.0,41.2,proximal,10.0
215,A06373,SOLVE026,351,361.0,0.027,808.0,31420.0,20.4,16.6,706.0,51.8,proximal,10.0
216,A06273,SOLVE026,361,371.0,0.029,460.6,46120.0,12.8,2.6,155.0,67.6,proximal,10.0
217,A05275,SOLVE026,371,381.0,0.052,1839.0,55080.0,21.8,4.4,1904.0,53.8,proximal,10.0
218,A05672,SOLVE026,381,391.0,0.041,859.0,60820.0,19.6,5.4,594.0,52.8,proximal,10.0
219,A06130,SOLVE026,391,401.0,0.032,126.2,45860.0,4.2,6.2,627.0,70.2,proximal,10.0
220,A05906,SOLVE026,401,411.0,0.036,320.6,51440.0,17.0,6.8,7551.0,100.6,proximal,10.0
221,A06432,SOLVE026,411,421.0,0.026,260.2,42300.0,24.4,135.0,11230.0,263.0,proximal,10.0
223,A06551,SOLVE026,431,441.0,0.024,1143.6,57540.0,13.6,100.4,5014.0,156.6,proximal,10.0
224,A07249,SOLVE026,441,451.0,0.014,209.0,50160.0,3.4,3.6,1099.0,57.8,proximal,10.0
225,A06060,SOLVE026,451,461.0,0.033,10.1,36960.0,4.4,25.2,11680.0,65.8,proximal,10.0
226,A06015,SOLVE026,461,471.0,0.034,38.9,31440.0,11.8,2.6,5820.0,55.4,proximal,10.0
227,A05820,SOLVE026,471,481.0,0.038,456.0,37340.0,17.8,4.2,5460.0,77.0,proximal,10.0
229,A07425,SOLVE026,491,501.0,0.012,115.4,45960.0,10.0,4.4,5410.0,91.8,proximal,10.0
230,A07725,SOLVE026,501,511.0,0.009,190.6,48220.0,6.8,2.2,2280.0,76.0,proximal,10.0
231,A07846,SOLVE026,511,521.0,0.008,354.8,50760.0,18.0,4.0,1800.0,70.8,proximal,10.0
232,A06495,SOLVE026,521,531.0,0.025,467.0,48460.0,25.2,2.6,3270.0,61.8,proximal,10.0
233,A08415,SOLVE026,531,541.0,0.0025,664.0,46660.0,21.2,1.0,2310.0,46.0,proximal,10.0
234,A07333,SOLVE026,541,551.0,0.013,686.0,51980.0,27.8,2.8,3504.0,48.0,proximal,10.0
235,A07845,SOLVE026,551,561.0,0.008,175.8,50680.0,5.2,2.2,5490.0,35.4,proximal,10.0
236,A07415,SOLVE026,561,571.0,0.012,384.0,44860.0,7.2,2.8,846.0,26.6,proximal,10.0
237,A06057,SOLVE026,571,581.0,0.033,1219.0,47720.0,23.8,114.8,12390.0,207.2,proximal,10.0
238,A06800,SOLVE026,581,591.0,0.02,816.0,38700.0,27.4,2.8,10430.0,45.0,proximal,10.0
239,A07000,SOLVE026,591,601.0,0.017,1172.0,47400.0,53.8,3.2,3970.0,55.6,proximal,10.0
240,A06798,SOLVE026,601,611.0,0.02,241.0,48060.0,18.0,6.8,12900.0,60.0,proximal,10.0
241,A04597,SOLVE026,611,621.0,0.076,498.0,53120.0,25.6,23.2,9334.0,38.6,proximal,10.0
242,A07716,SOLVE026,621,631.0,0.009,430.0,51980.0,29.2,4.0,6238.0,49.4,proximal,10.0
243,A06791,SOLVE026,631,641.0,0.02,1080.0,57240.0,64.8,3.4,3080.0,49.6,proximal,10.0
244,A06494,SOLVE026,641,651.0,0.025,1292.0,72340.0,57.6,2.2,1127.0,29.2,proximal,10.0
245,A06360,SOLVE026,651,661.0,0.027,878.0,58480.0,31.0,4.0,1076.0,23.0,proximal,10.0
246,A06053,SOLVE026,661,671.0,0.033,1062.0,58740.0,90.0,2.8,2100.0,28.4,proximal,10.0
247,A07708,SOLVE026,671,681.0,0.009,366.0,41740.0,33.0,2.2,1866.0,24.0,proximal,10.0
248,A07069,SOLVE026,681,691.0,0.016,936.0,46020.0,23.4,2.0,1902.0,24.8,proximal,10.0
249,A05703,SOLVE026,691,701.0,0.04,1372.0,39860.0,36.6,10.0,4630.0,47.0,proximal,10.0
251,A05183,SOLVE026,721,731.0,0.054,608.0,40800.0,110.2,4.6,852.0,35.6,proximal,10.0
253,A06710,SOLVE027,131,141.0,0.022,22.1,19720.0,1.6,8.0,6233.0,61.6,distal,10.0
254,A05860,SOLVE027,141,151.0,0.037,222.0,33400.0,1.2,5.6,2000.0,56.4,distal,10.0
255,A06042,SOLVE027,151,161.0,0.034,489.2,30660.0,1.2,6.8,1418.0,47.0,distal,10.0
256,A06835,SOLVE027,161,171.0,0.02,178.2,26400.0,2.4,14.4,1280.0,48.8,distal,10.0
257,A07465,SOLVE027,171,181.0,0.012,7.4,19260.0,2.6,9.2,335.0,32.8,distal,10.0
258,A06462,SOLVE027,181,191.0,0.026,186.8,46900.0,1.6,7.2,3416.0,46.4,distal,10.0
259,A07285,SOLVE027,191,201.0,0.014,36.8,50260.0,1.6,10.0,8920.0,42.6,distal,10.0
260,A06460,SOLVE027,201,211.0,0.026,87.4,69580.0,3.4,17.6,39080.0,64.2,distal,10.0
