Unique_ID,holeid,from,to,As,Au,Pb,Fe,Mo,Cu,S,Zn,Class
A07072,SOLVE004,731,741,,0.016,455.6,63180,76.8,3.4,1839,35.6,A
A06655,SOLVE004,741,751,,0.022,596.4,66360,91,3,528.8,30,A
A05665,SOLVE004,751,761,,0.041,657.2,62920,43,3,443.4,30.6,A
A07320,SOLVE004,761,771,,0.013,283.4,62680,15.4,3,157.2,23.6,A
A05021,SOLVE004,771,781,,0.06,683.8,61640,12.6,3,1679.4,35.2,A
A05138,SOLVE004,781,791,,0.056,854.2,48120,84.2,3,1306.6,47.2,A
A06607,SOLVE004,791,801,,0.023,229.6,49320,13,3,232.6,33.6,A
A06996,SOLVE004,801,811,,0.017,151.4,47620,19.8,5,389.8,52.6,A
A06265,SOLVE004,811,821,,0.029,400,45660,9,3,265.2,30.4,A
A06733,SOLVE004,821,831,,0.021,552.4,46420,118,3,1041.6,35.4,A
A06787,SOLVE004,831,841,,0.02,609.4,45540,45.6,64.4,3099.2,137,A
A07817,SOLVE004,841,847.7,,0.008507463,101.5522388,48285.07463,3.805970149,3,545.4626866,30.08955224,A
A03674,SOLVE007,561,571,,0.126,2328.6,59860,76.2,3,2782,29.6,A
A03972,SOLVE007,571,581,,0.106,2022.4,65900,92,40.2,3717.2,119.6,A
A04584,SOLVE007,581,591,,0.076,2630,51700,36.4,3,3037.6,29.6,A
A04769,SOLVE007,591,601,,0.068,1457.8,46280,79.8,3,1546,27.6,A
A04276,SOLVE007,601,611,,0.09,2025.6,,74.2,3,1517,26.6,A
A05325,SOLVE007,611,621,,0.05,1000.2,61160,31.8,3,2776,36.8,A
A03530,SOLVE007,621,631,,0.138,2868.4,47500,48.6,6.4,3654,43.2,A
A03290,SOLVE007,631,641,,0.158,2297.2,52240,157,3,3311.4,24.8,A
A04102,SOLVE007,641,651,,0.1,2110,58620,102,3,1763.2,27.2,A
A04445,SOLVE007,651,661,,0.082,1037,51660,20.4,3,1672.4,29.8,A
A04724,SOLVE007,661,671,,0.07,1009.8,49340,201.6,3,1279.4,23,A
A03703,SOLVE007,671,677,,0.123333333,1935.666667,52966.66667,199.3333333,3,1837.666667,28,A
A05763,SOLVE008,211,221,,0.039,9.4,35160,53.4,6.8,33620,48.4,B
A04793,SOLVE008,221,231,,0.068,17.6,119340,136,36.2,141740,97.8,B
A04067,SOLVE008,231,241,,0.101,20.8,48100,14.6,10.8,30240,85.8,B
A07359,SOLVE008,241,251,,0.013,14.9,16380,7.8,2.2,8950,53.8,B
A07459,SOLVE008,251,261,,0.012,4.7,16470,3,3.2,10480,50.8,B
A06759,SOLVE008,261,271,,0.021,6.6,26180,2,4.8,25330,31.6,B
A06701,SOLVE008,271,281,,0.022,23,19040,3.6,5.2,12760,90.8,B
A05958,SOLVE008,281,291,,0.035,15,31920,7.6,5.6,26290,161.6,B
A06457,SOLVE008,291,301,,0.026,13.4,7110,13.8,27.2,4190,73.8,B
A05652,SOLVE008,301,311,,0.042,9.6,5360,3.8,62.4,3460,123.8,B
A06280,SOLVE008,311,321,,0.029,24.2,10510,13,28.4,9492,53,B
A07276,SOLVE008,321,331,,0.014,9.4,20170,5,10,17080,44,B
A06068,SOLVE008,331,341,,0.033,13,7650,22,3.6,3550,31.2,B
A06150,SOLVE008,341,351,,0.032,10.6,8370,15.8,1.6,4617,31.4,B
A05674,SOLVE008,351,361,,0.041,8.2,5020,29.8,4.4,2553,21.4,B
A06576,SOLVE008,361,371,,0.024,14.6,15910,38.4,1.6,9430,48.2,B
A07108,SOLVE008,371,381,,0.016,16.4,41660,2.6,4.6,36940,28.8,B
A08197,SOLVE008,381,391,,0.006,10.7,26480,2.6,4,19430,31.4,B
A06696,SOLVE008,391,401,,0.022,12.2,4790,2.2,40.6,1780,62,B
A07195,SOLVE008,401,411,,0.015,52.8,5150,4.2,18,1192,81,B
A06172,SOLVE008,411,421,,0.031,6.1,18560,2.4,15,3180,79.2,B
A05649,SOLVE008,421,431,,0.042,6.8,23160,1.4,4.8,4599,65,B
A07350,SOLVE008,431,441,,0.013,17.8,16290,9.8,5.8,3974,42,B
A07880,SOLVE008,441,451,,0.008,15.4,30800,3.4,5,13240,55.4,B
A07750,SOLVE008,451,461,,0.009,27.2,24720,4,7.2,11730,64.4,B
A07878,SOLVE008,461,471,,0.008,24.8,24340,5.2,7.2,11420,82.8,A
A06066,SOLVE008,471,481,,0.033,45.8,33960,2.8,5.8,5738,50.2,A
A06277,SOLVE008,481,491,,0.029,118.4,44820,2.4,5.8,16320,48.6,A
A06139,SOLVE008,491,501,,0.032,104,33260,3.6,5.8,2099,57,A
A06447,SOLVE008,501,511,,0.026,207.9,35200,2.6,3.4,1205,62,A
A06062,SOLVE008,511,521,,0.033,90.4,32220,2.4,5,4820,46.8,A
A05918,SOLVE008,521,531,,0.036,42.2,32460,2.4,5.4,5330,47,A
A07445,SOLVE008,531,541,,0.012,19.2,46380,1.4,9.6,33920,55,A
A08494,SOLVE008,541,551,,<0.005,108.6,55720,2,7.2,37760,54.8,A
A07867,SOLVE008,551,561,,0.008,96,59020,1.4,7.6,14760,65.2,A
A07184,SOLVE008,561,571,,0.015,201.4,59100,2.2,6.6,27000,45.8,A
A07438,SOLVE008,571,581,,0.012,173.8,57680,3.4,27.6,10890,32.8,A
A07520,SOLVE008,581,591,,0.011,228.4,,22.2,10,24620,26.8,A
A08474,SOLVE008,591,601,,<0.005,109.2,43460,4.8,9.2,11190,48.6,A
A07608,SOLVE008,601,611,,0.01,195,52300,17,10.4,33360,30.8,A
A08464,SOLVE008,611,621,,<0.005,100,41740,2.6,14.4,13380,33,A
A08457,SOLVE008,621,631,,<0.005,172.2,48280,2.8,12.8,17370,35.4,A
A08451,SOLVE008,631,641,,<0.005,223.6,55620,10.2,8.8,25420,39.8,A
A08444,SOLVE008,641,651,,<0.005,94,56800,6.6,10.8,26860,39,A
A08437,SOLVE008,651,661,,<0.005,143.4,54300,4.8,13.2,18720,40.6,A
A08428,SOLVE008,661,671,,<0.005,182.8,57480,10.8,10.4,17770,48,A
A08416,SOLVE008,671,681,,<0.005,38.6,55560,4.4,6.6,598,29.2,A
A08406,SOLVE008,681,691,,<0.005,210.2,66360,8.6,5.6,1946,40.8,A
A08397,SOLVE008,691,701,,<0.005,429.4,60140,22.4,8,1780,39.6,A
A08390,SOLVE008,701,711,,<0.005,188.4,64740,21,6.2,2326,78.2,A
A07836,SOLVE008,711,721,,0.008,483.2,59540,33.4,8.4,2366,43.2,A
A07712,SOLVE008,721,731,,0.009,231.8,45280,5.8,8,10196,30.8,A
A07237,SOLVE008,731,741,,0.014,229,43960,8.8,8.4,19950,33.8,A
A07319,SOLVE008,741,751,,0.013,278,69860,8.2,9.6,32560,23.8,A
A07317,SOLVE008,751,761,,0.013,209.8,62340,7,5.6,13070,28.2,A
A07706,SOLVE008,761,771,,0.009,209,68160,5.6,46,17560,29.8,A
A04548,SOLVE008,771,781,,0.078,842,74640,7.2,25.4,29220,60,A
A05876,SOLVE008,781,791,,0.036,770,78940,9.6,8.8,18240,29.8,A
A05251,SOLVE008,791,801,,0.052,1026,48080,14.4,188,8350,27.8,A
A03613,SOLVE008,801,811,,0.132,2554,66320,27.8,7.6,17540,35.2,A
A05780,SOLVE008,811,821,,0.038,670,68320,9.2,6.8,9570,28.6,A
A04466,SOLVE008,821,831,,0.081,1449,57800,26.4,6.4,2310,29.4,A
A04575,SOLVE008,831,841,,0.076,1154,50460,34.2,9.8,1944,47.8,A
A05006,SOLVE010,521,531,,0.06,1894,47180,31.6,11.6,3940,33.2,A
A04879,SOLVE010,531,541,,0.064,1180,56720,50.8,8.8,16540,25.8,A
A05608,SOLVE010,541,551,,0.042,876,87940,18.8,3.6,4459,22.8,A
A05176,SOLVE010,551,561,,0.054,1112,86900,43.2,4.4,1557,24.6,A
A04852,SOLVE011,791,801,,0.065,1223,52220,14.4,4.4,24480,18.2,A
A04020,SOLVE011,801,811,,0.104,1556,57460,24.8,4,40480,20,A
A05123,SOLVE011,811,821,,0.056,929.2,58400,15.4,4.8,46860,15.8,A
A05510,SOLVE011,821,831,,0.045,730.8,45780,16.6,5.2,29600,18,A
A05983,SOLVE011,831,841,,0.034,349,66260,9.4,7.2,33760,21,A
A05793,SOLVE011,841,851,,0.038,299,71820,2.2,5.2,24030,22.6,A
A06490,SOLVE011,851,861,,0.025,292,63540,1.4,26.8,21880,32.6,A
A04362,SOLVE015,861,871,,0.086,1352.4,45520,3,3,1476,24,A
A04273,SOLVE015,871,881,,0.09,1602.8,42860,3,3,2063.6,24.8,A
A02928,SOLVE015,881,891,,0.194,1352.6,47060,4,15,7856.6,98.8,A
A03783,SOLVE015,891,901,,0.118,1598,46640,3.8,3,4310,36.4,A
A03884,SOLVE015,901,910.5,,0.111578947,2028.421053,38442.10526,8,3,3345.157895,22.63157895,A
A03549,SOLVE016,671,681,,0.136,1282,56700,18.2,50.6,6258,131,A
A04164,SOLVE016,681,691,,0.096,1268.2,60200,3,3,2986,85.2,A
A05387,SOLVE016,691,701,,0.048,789.6,58920,9.6,3,1890.2,64.6,A
A04722,SOLVE016,701,711,,0.07,1070.8,53960,52.6,3,600.4,31.2,A
A04678,SOLVE016,711,721,,0.072,2069.8,57460,19.8,3,1875.4,40.4,A
A04441,SOLVE016,721,731,,0.082,1900,45920,9,3,2888,30.8,A
A05014,SOLVE016,731,741,,0.06,1229.4,64040,18.2,3,1699.6,38.2,A
A04168,SOLVE016,741,751,,0.096,1378.2,69420,34,4.4,12148,69.8,A
A04945,SOLVE016,751,761,,0.062,1357.6,56180,6,3,1195.2,28.4,A
A04595,SOLVE016,761,771,,0.076,1546.4,57380,9.8,3,2062.4,27.6,A
A05023,SOLVE016,771,781,,0.06,1433.6,61580,10.2,3,5189.4,54.6,A
A03315,SOLVE016,781,791,,0.156,3395.2,57800,33.6,3,3067.4,32.2,A
A03359,SOLVE016,791,801,,0.152,3978.2,55900,8.6,3.4,5356,49.4,A
A06999,SOLVE017,1141,1151,,0.017,57.4,42120,2.8,7.6,3510,27,A
A08124,SOLVE017,1151,1161,,0.006,104.2,43820,4.2,8.8,4720,31.4,A
A07591,SOLVE017,1161,1171,,0.01,218.2,39120,3,8.8,8504,31,A
A07720,SOLVE017,1171,1181,,0.009,210.8,48020,5,10.4,1280,43,A
A08133,SOLVE017,1181,1191,,0.006,160.6,39360,3.6,5.2,476,37.4,A
A07595,SOLVE017,1191,1201,,0.01,181.8,39720,3.6,10.4,464,38.8,A
A08427,SOLVE017,1201,1211,,<0.005,142.8,39140,3,14,410,42.2,A
A08432,SOLVE017,1211,1221,,<0.005,112.4,40700,2.8,14.8,418,51.4,A
A08138,SOLVE017,1221,1231,,0.006,145,41820,3.6,10.8,332,53.6,A
A07515,SOLVE017,1231,1241,,0.011,156,,3.6,16.8,306,62.6,A
A07154,SOLVE021,811,821,,0.015,86.2,91520,12.6,6,74980,16.8,A
A07702,SOLVE021,821,831,,0.009,522,91260,3.6,6.8,60420,29.2,A
A06646,SOLVE021,831,841,,0.022,180.4,79300,2.2,6.4,50700,32.6,A
A06303,SOLVE021,841,851,,0.028,264,72600,2.6,6.4,48060,36.6,A
A07230,SOLVE021,851,861,,0.014,150.8,74460,5,5.2,44940,34.2,A
A07399,SOLVE021,861,871,,0.012,169.6,66480,2,5.2,34540,30.8,A
A06606,SOLVE021,871,881,,0.023,128.2,74360,2.8,8,30840,37.4,A
A06212,SOLVE021,881,891,,0.03,250.4,82100,4,8.8,43920,33.4,A
A04949,SOLVE021,891,901,,0.062,456.6,70120,3,8.4,36260,36.4,A
A06419,SOLVE021,901,911,,0.026,176.4,53820,4.2,7.2,41520,26.6,A
A05409,SOLVE021,911,921,,0.048,115.6,56560,5,6,43820,36.8,A
A05818,SOLVE021,921,931,,0.038,113.8,77420,4.4,8,63940,37.2,A
A06224,SOLVE021,931,941,,0.03,68.2,74000,5.4,6,59460,32.8,A
A06227,SOLVE021,941,951,,0.03,323.4,62780,3.6,2.8,35720,28.6,A
A05951,SOLVE021,951,961,,0.035,215.4,53800,3.4,6.8,36980,34,A
A06671,SOLVE021,961,971,,0.022,149.8,63220,3.2,3.2,31290,23,A
A06431,SOLVE021,971,981,,0.026,201.4,73700,3.4,3.2,35620,28.6,A
A07252,SOLVE021,981,991,,0.014,113.6,67260,3.6,2.4,14590,33.2,A
A03020,SOLVE021,991,1001,,0.184,88,44240,2.6,2,8960,45.6,A
A06230,SOLVE021,1001,1011,,0.03,125.8,51480,3.6,4,4330,34,A
A06808,SOLVE021,1011,1021,,0.02,168,53420,1.2,5.2,5570,35.4,A
A05640,SOLVE021,1021,1031,,0.042,116.8,42160,1,4,4350,26.4,A
A06232,SOLVE021,1031,1041,,0.03,141,37920,2.6,4.8,18000,34.4,A
A06234,SOLVE021,1041,1051,,0.03,149.2,47420,1.6,3.6,7460,32,A
A04964,SOLVE021,1051,1061,,0.062,131.8,38500,3.8,2,8570,38.2,A
A06948,SOLVE021,1061,1071,,0.018,105.6,25040,2.4,6.8,6480,97.6,A
A06745,SOLVE021,1071,1081,,0.021,70.8,21580,1.6,12.8,3140,81.8,A
A07611,SOLVE021,1081,1091,,0.01,185,31920,1.4,22.6,7940,171.6,A
A07521,SOLVE021,1091,1101,,0.011,127.8,31660,1.8,9.6,5760,87.4,A
A06953,SOLVE021,1101,1111,,0.018,56,29000,1.4,9.2,1650,34,A
A06330,SOLVE021,1111,1121,,0.028,41.6,35040,2.4,5.2,2460,44.4,A
A05916,SOLVE021,1121,1131,,0.036,69.6,38560,2.6,4.4,260,28.4,A
A06817,SOLVE021,1131,1141,,0.02,41.4,33680,2,6.8,1046,50.8,A
A06105,SOLVE025,251,261,,0.032,1132,45520,12,3.6,788,33.6,A
A05706,SOLVE025,261,271,,0.04,770,63280,16.2,5.2,818,31,A
A05618,SOLVE025,271,281,,0.042,824,66400,29.8,4,608,31.2,A
A05128,SOLVE025,281,291,,0.056,1548,48320,75.8,6.8,2076,39.8,A
A05011,SOLVE025,291,301,,0.06,2040,29080,62.4,7.2,4330,34.2,A
A05071,SOLVE025,301,311,,0.058,1850,42380,42.6,8,3360,49,A
A04495,SOLVE025,311,321,,0.08,1780,68480,43.4,5.6,2830,36.2,A
A04588,SOLVE025,321,331,,0.076,1320,66300,47.4,8.8,1730,34.2,A
A04767,SOLVE025,331,341,,0.068,1460,68180,59,3.6,1520,33,A
A05781,SOLVE025,341,351,,0.038,1165,62720,46.2,4.4,1113,37.6,A
A04436,SOLVE025,351,361,,0.082,1540,51640,31.6,5.2,2280,53,A
A04233,SOLVE025,361,371,,0.092,1340,53340,30.8,3.6,1350,58.2,A
A04016,SOLVE025,371,381,,0.104,1700,54120,44.2,4,1740,58.6,A
A02642,SOLVE025,381,391,,0.228,2290,59940,66,4,2180,59.4,A
A04434,SOLVE025,391,401,,0.082,1510,68980,46,5.2,1240,58,A
A04814,SOLVE025,911,921,,0.066,1150,60880,27.6,2,2330,33.2,A
A03527,SOLVE025,921,931,,0.138,2130,58420,33.2,4,3030,40.6,A
A03753,SOLVE025,931,941,,0.12,2330,62780,33.2,5.2,9210,53.8,A
A04235,SOLVE025,941,951,,0.092,1650,53160,15.2,2,6010,34.6,A
A05184,SOLVE025,951,961,,0.054,878,61600,11.4,2,6498,27.4,A
A05566,SOLVE026,191,201,,0.044,62.4,26140,1,5.2,2510,50,B
A04740,SOLVE026,201,211,,0.07,157.1,28580,1,5.4,5930,72,B
A05098,SOLVE026,211,221,,0.058,10.5,17690,1.6,5.4,9760,48,B
A06753,SOLVE026,221,231,,0.021,23.6,8480,1.4,6,1888,38.6,B
A05954,SOLVE026,231,241,,0.035,11.8,33120,3.4,8.8,30800,42.8,B
A05926,SOLVE026,241,251,,0.036,12.8,15940,10.4,9.6,8840,43.8,A
A05491,SOLVE026,251,261,,0.046,18,18450,2.4,7.6,10540,57.4,A
A08517,SOLVE026,261,271,,<0.005,109.2,19140,3.2,18.4,12820,47.4,A
A06064,SOLVE026,271,281,,0.033,157.2,25360,1.4,20.4,9980,90.8,A
A02933,SOLVE026,281,291,,0.193,25.8,22240,1.6,6.6,6100,64.8,A
A06376,SOLVE026,291,301,,0.027,1259.8,19040,10.6,6.2,4286,68.6,A
A07444,SOLVE026,301,311,,0.012,1070.2,27000,23.8,8.4,2480,105.4,A
A07185,SOLVE026,311,321,,0.015,1006,35480,13.4,9.4,810,67.8,A
A07864,SOLVE026,321,331,,0.008,726,16240,32,7.2,588,36.6,A
A06167,SOLVE026,331,341,,0.031,749,21140,36,7.6,722,41.2,A
A04905,SOLVE026,341,351,,0.064,1348,18980,47.6,397.4,2080,800.8,A
A06373,SOLVE026,351,361,,0.027,808,31420,20.4,16.6,706,51.8,A
A06273,SOLVE026,361,371,,0.029,460.6,46120,12.8,2.6,155,67.6,A
A05275,SOLVE026,371,381,,0.052,1839,55080,21.8,4.4,1904,53.8,A
A05672,SOLVE026,381,391,,0.041,859,60820,19.6,5.4,594,52.8,A
A06130,SOLVE026,391,401,,0.032,126.2,45860,4.2,6.2,627,70.2,A
A05906,SOLVE026,401,411,,0.036,320.6,51440,17,6.8,7551,100.6,A
A06432,SOLVE026,411,421,,0.026,260.2,42300,24.4,135,11230,263,A
A06324,SOLVE026,421,431,,0.028,217.6,49080,6.2,185.4,6050,466.8,A
A06551,SOLVE026,431,441,,0.024,1143.6,57540,13.6,100.4,5014,156.6,A
A07249,SOLVE026,441,451,,0.014,209,50160,3.4,3.6,1099,57.8,A
A06060,SOLVE026,451,461,,0.033,10.1,36960,4.4,25.2,11680,65.8,A
A06015,SOLVE026,461,471,,0.034,38.9,31440,11.8,2.6,5820,55.4,A
A05820,SOLVE026,471,481,,0.038,456,37340,17.8,4.2,5460,77,A
A04030,SOLVE026,481,491,,0.104,922,49620,8.8,296.6,10610,334.2,A
A07425,SOLVE026,491,501,,0.012,115.4,45960,10,4.4,5410,91.8,A
A07725,SOLVE026,501,511,,0.009,190.6,48220,6.8,2.2,2280,76,A
A07846,SOLVE026,511,521,,0.008,354.8,50760,18,4,1800,70.8,A
A06495,SOLVE026,521,531,,0.025,467,48460,25.2,2.6,3270,61.8,A
A08415,SOLVE026,531,541,,<0.005,664,46660,21.2,1,2310,46,A
A07333,SOLVE026,541,551,,0.013,686,51980,27.8,2.8,3504,48,A
A07845,SOLVE026,551,561,,0.008,175.8,50680,5.2,2.2,5490,35.4,A
A07415,SOLVE026,561,571,,0.012,384,44860,7.2,2.8,846,26.6,A
A06057,SOLVE026,571,581,,0.033,1219,47720,23.8,114.8,12390,207.2,A
A06800,SOLVE026,581,591,,0.02,816,38700,27.4,2.8,10430,45,A
A07000,SOLVE026,591,601,,0.017,1172,47400,53.8,3.2,3970,55.6,A
A06798,SOLVE026,601,611,,0.02,241,48060,18,6.8,12900,60,A
A04597,SOLVE026,611,621,,0.076,498,53120,25.6,23.2,9334,38.6,A
A07716,SOLVE026,621,631,,0.009,430,51980,29.2,4,6238,49.4,A
A06791,SOLVE026,631,641,,0.02,1080,57240,64.8,3.4,3080,49.6,A
A06494,SOLVE026,641,651,,0.025,1292,72340,57.6,2.2,1127,29.2,A
A06360,SOLVE026,651,661,,0.027,878,58480,31,4,1076,23,A
A06053,SOLVE026,661,671,,0.033,1062,58740,90,2.8,2100,28.4,A
A07708,SOLVE026,671,681,,0.009,366,41740,33,2.2,1866,24,A
A07069,SOLVE026,681,691,,0.016,936,46020,23.4,2,1902,24.8,A
A05703,SOLVE026,691,701,,0.04,1372,39860,36.6,10,4630,47,A
A03582,SOLVE026,701,711,,0.134,2500,,,,,,A
A04098,SOLVE026,711,721,,0.1,1876,39260,178,3.2,2750,36.2,A
A05183,SOLVE026,721,731,,0.054,608,40800,110.2,4.6,852,35.6,A
A03720,SOLVE026,731,741,5,0.122,1881.2,35440,133,6,2770,43.4,A
A06710,SOLVE027,131,141,,0.022,22.1,19720,1.6,8,6233,61.6,B
A05860,SOLVE027,141,151,,0.037,222,33400,1.2,5.6,2000,56.4,B
A06042,SOLVE027,151,161,,0.034,489.2,30660,1.2,6.8,1418,47,B
A06835,SOLVE027,161,171,,0.02,178.2,26400,2.4,14.4,1280,48.8,B
A07465,SOLVE027,171,181,,0.012,7.4,19260,2.6,9.2,335,32.8,B
A06462,SOLVE027,181,191,,0.026,186.8,46900,1.6,7.2,3416,46.4,B
A07285,SOLVE027,191,201,,0.014,36.8,50260,1.6,10,8920,42.6,B
A06460,SOLVE027,201,211,,0.026,87.4,69580,3.4,17.6,39080,64.2,B
A07462,SOLVE027,211,221,,0.012,44.2,35560,2.2,32.4,10760,76.2,B
A07116,SOLVE027,221,231,,0.016,59.2,26820,1.8,6.8,306,49.6,B
A07358,SOLVE027,231,241,,0.013,35.2,23880,1.6,6.2,310,34.6,B
A05155,SOLVE027,241,251,,0.056,113.8,46000,2.2,14.4,3566,30.2,B
A06503,SOLVE027,251,261,,0.025,123.4,37000,3.4,6.8,6278,33,B
A05838,SOLVE027,261,271,,0.038,105.6,58080,1.4,12.4,22680,30.2,B
A06579,SOLVE027,271,281,,0.024,127.2,59580,1.4,13.6,10130,39.2,B
A05217,SOLVE027,281,291,,0.054,60.4,52760,1.8,10.8,1039,39.2,B
A05746,SOLVE027,291,301,,0.04,72.4,47240,2.8,12.4,14645,30.6,B
A06149,SOLVE027,301,311,,0.032,224.4,48580,1.2,11.6,2521,32.2,B
A05955,SOLVE027,311,321,,0.035,328.2,29680,9.8,12.8,478,36.4,B
A05931,SOLVE027,321,331,,0.036,628.2,60560,2.8,19.2,2444,41.6,B
A05493,SOLVE027,331,341,,0.046,879.2,42560,6.4,8.4,1124,46.6,B
A06147,SOLVE027,341,351,,0.032,717.6,41760,5.6,5.6,1744,36.4,B
A06821,SOLVE027,351,361,,0.02,658,62680,1.8,4.4,593,33,B
A07029,SOLVE027,361,371,,0.017,284,47080,3.6,1.6,107,30,B
A07452,SOLVE027,371,381,,0.012,399,43880,9.4,2.2,237,31.4,B
A08533,SOLVE027,381,391,,<0.005,183.6,59020,4.2,1.6,163,36.2,B
A08531,SOLVE027,391,401,,<0.005,180.8,47220,1.2,1,103,30.2,B
A06449,SOLVE027,401,411,,0.026,856,49980,11,4,1208,36,B
A05855,SOLVE027,411,421,,0.037,594,51460,43.4,4.2,330,34.6,B
A05953,SOLVE027,421,431,,0.035,290.4,43520,2.4,5.2,197,31.2,A
A06623,SOLVE027,431,441,,0.023,238,43540,4.6,5.4,187,37.6,A
A06690,SOLVE027,441,451,,0.022,642,58300,5.4,6,807,42.6,A
A06140,SOLVE027,451,461,,0.032,471,33760,16.4,11.6,1260,38.2,A
A08504,SOLVE027,461,471,,<0.005,478,33440,26.8,7,844,32.8,A
A06880,SOLVE027,471,481,,0.019,1310,57340,39,9.6,1420,45.2,A
A06331,SOLVE027,481,491,,0.028,726,63780,42.6,8.4,614,22.2,A
A07022,SOLVE027,491,501,,0.017,974,59500,46,6.2,1410,31,A
A06747,SOLVE027,501,511,,0.021,601,56080,22,5.6,1350,27.4,A
A06950,SOLVE027,511,521,,0.018,211.2,58180,9,3.2,177,26.6,A
A06679,SOLVE027,521,531,,0.022,260.6,65260,6.8,8.2,1081,44.2,A
A07979,SOLVE027,531,541,,0.007,82.4,47100,5,2.6,46,31,A
A07173,SOLVE027,541,551,,0.015,217.6,54000,6,3.2,82,26,A
A05824,SOLVE027,551,561,,0.038,618,49040,21,7.2,344,24.4,A
A05823,SOLVE027,561,571,,0.038,988,60080,29.6,5,858,33,A
A06806,SOLVE027,571,581,,0.02,308,65460,9.8,4.2,186,25.8,A
A06428,SOLVE027,581,591,,0.026,1048,57740,116.6,8.6,2574,41,A
A04785,SOLVE027,591,601,,0.068,1078,55520,91,92.8,5378,239.8,A
A05410,SOLVE027,601,611,,0.048,650,62360,23.8,56.4,2842,123.8,A
A05026,SOLVE027,611,621,,0.06,1436,56220,14.6,10.4,1584,25.4,A
A05205,SOLVE027,621,631,,0.054,1068,55720,42.6,8,1464,29.6,A
A04833,SOLVE027,631,641,,0.066,1456,64680,45.2,9.2,1650,25,A
A03984,SOLVE027,641,651,,0.106,2736,59180,70.2,8.4,3690,24.8,A
A03041,SOLVE027,651,661,,0.182,1754,59060,53.2,972.8,18080,1695,A
A04944,SOLVE027,661,671,,0.062,732,57500,39.4,12.8,5920,50.6,A
A05622,SOLVE027,671,681,,0.042,802,57040,54.4,12.8,3230,47,A
A03553,SOLVE027,681,691,,0.136,3702,42200,189.6,10.4,5540,47,A
A03978,SOLVE027,691,701,,0.106,1786,48260,89.8,12.4,4850,46.4,A
A06094,SOLVE027,701,711,,0.032,579.8,63260,47.6,7.2,2070,48,A
A05784,SOLVE027,711,721,,0.038,784,60960,64.6,9.2,2280,46.6,A
A05179,SOLVE027,721,731,,0.054,1380,47540,62.6,10.4,1864,39.2,A
A04435,SOLVE028,291,301,,0.082,1368.4,47180,6.8,3.8,1311,49,A
A03780,SOLVE028,301,311,,0.118,1138,62620,2.6,2.6,608,48,A
A03430,SOLVE028,311,321,,0.146,2740,69240,13.6,2.8,1338,58,A
A03407,SOLVE028,321,331,,0.148,2546,61580,15.8,3.8,3940,51.6,A
A04499,SOLVE028,331,341,,0.08,1776,48440,9,9.8,1740,71,A
A05133,SOLVE028,341,351,,0.056,414,44060,2.8,4,2499,43.6,A
A04446,SOLVE028,351,361,,0.082,,56580,3.4,4.6,844,45.2,A
A04371,SOLVE028,361,371,,0.086,500.6,62240,5,7.8,782,44.6,A
A04892,SOLVE028,371,381,,0.064,440,57840,2.2,3.4,330,42.8,A
A06963,SOLVE030,171,181,,0.018,140.2,73100,1.2,8,3130,85.4,B
